Tweet,Message/tweets,positive,negative,polarity
1704, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1705," tomflem DalhousieUniversity research team prepares for clinical trial of COVID19 vaccine  httpst.coi1VkBX1BV5
COVID19Vaccine",,,neutral
1706, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1707," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1708," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1709,"Dalhousie university is working on several vaccines may start human trials on one within weeks but cautions actual use could be a year away. 

 httpst.coNMucXkfv7s CBCNS httpst.codYvjzLnw06",,,neutral
1710," tomflem DalhousieUniversity research team prepares for clinical trial of COVID19 vaccine  httpst.coi1VkBX1BV5
COVID19Vaccine",,,neutral
1711, DalAlumni Red the CBC coverage of the DalhousieU research team working towards a COVID19 vaccine. httpst.co4lUO4S15D7,,,neutral
1712," tomflem DalhousieUniversity research team prepares for clinical trial of COVID19 vaccine  httpst.coi1VkBX1BV5
COVID19Vaccine",,,neutral
1713," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1714, DalVPR Rapid advances in COVID2019  research DalhousieU akelvinlab    httpst.coKYzwnjEvix,rapid,,positive
1715,Red the CBC coverage of the DalhousieU research team working towards a COVID19 vaccine. httpst.co4lUO4S15D7,,,neutral
1716,"DalhousieUniversity research team prepares for clinical trial of COVID19 vaccine  httpst.coi1VkBX1BV5
COVID19Vaccine",,,neutral
1717, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1718," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1719, jmorawiecki Our researchers are OnIt DalProud DalVPR  httpst.co8BzKmqUT42,,,neutral
1720," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1721,"Dalhousie research team prepares for clinical trial of COVID19 vaccine
httpst.corRRqDyiWum httpst.col86DuLiEOX",,,neutral
1722," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1723," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1724, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1725," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1726,"This is what should be done during a GBLOBAL PANDAMIC
please sign.....
Dalhouise DalhousieUniversity Dal Halifax NovaScotia

httpst.coXRmwZ1vQOY",,,neutral
1727," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1728," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1729," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1730," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1731," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1732,Canadians are concerned about COVID19 but panic buying isnt as widespread as reports suggest according to new research from Angus Reid on behalf of Dalhousie University.httpst.cogNX6PVWmwK httpst.coOgXVI9W3VU,,"concerned, panic",negative
1733, DalVPR Rapid advances in COVID2019  research DalhousieU akelvinlab    httpst.coKYzwnjEvix,rapid,,positive
1734," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1735, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1736," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1737," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1738, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1739," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1740," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1741, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1742, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1743," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1744, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1745,"Dalhousie and the world are all working hard together. You too can do your part.stayathome

httpst.coHnfPEerdz9",,hard,negative
1746, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1747," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1748," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1749, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1750," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1751, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1752, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1753," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1754," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1755, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1756, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1757," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1758," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1759, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1760, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1761, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1762," dbdli In anticipation of the Ancestral Roots Awards we will be highlighting recipients from last year 

Meet Nico Jones a 2018 gradu",awards,,positive
1763, DalVPR Rapid advances in COVID2019  research DalhousieU akelvinlab    httpst.coKYzwnjEvix,rapid,,positive
1764, LetsPaintHfx Dalhousie research team prepares for clinical trial of COVID19 vaccine  CBC News httpst.co7xG8j9i22B,,,neutral
1765,Dalhousie research team prepares for clinical trial of COVID19 vaccine  CBC News httpst.co7xG8j9i22B,,,neutral
1766, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1767, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1768, DalVPR Rapid advances in COVID2019  research DalhousieU akelvinlab    httpst.coKYzwnjEvix,rapid,,positive
1769, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1770, natnewswatch Dalhousie research team prepares for clinical trial of COVID19 vaccine  CBC News httpst.coH3gY2tayVb,,,neutral
1771," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1772," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1773, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1774, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1775," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1776, jmorawiecki Our researchers are OnIt DalProud DalVPR  httpst.co8BzKmqUT42,,,neutral
1777," pmarignani Congrats akelvinlab and team CDNWomenSTEM

Dalhousie research team prepares for clinical trial of COVID19 vaccine https",,,neutral
1778,"Meanwhile this amendment has been proposed bursaries can be issued through a mailed cheque through deposit to their Dalhousie University Student Account or pending approval from DSU auditors through direct deposit to their bank account. 

Previously just cheques listed",approval,,positive
1779,"Congrats akelvinlab and team CDNWomenSTEM

Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.cozV7tZO6m9P",,,neutral
1780," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1781, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1782, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1783, natnewswatch Dalhousie research team prepares for clinical trial of COVID19 vaccine  CBC News httpst.coH3gY2tayVb,,,neutral
1784," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1785, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1786, jmorawiecki Our researchers are OnIt DalProud DalVPR  httpst.co8BzKmqUT42,,,neutral
1787, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1788, DalVPR Rapid advances in COVID2019  research DalhousieU akelvinlab    httpst.coKYzwnjEvix,rapid,,positive
1789, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1790," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1791," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1792,"Im DalProud

httpst.codSVlmLlFIw",,,neutral
1793, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1794," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1795," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1796, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1797,"Yeah Took virology from RD in 1990s

Kelvin said the DNA vaccine was developed by her colleague Roy Duncan and is one of three types of vaccines the team is evaluating
Dalhousie research team prepares for clinical trial of COVID19 vaccine  CBC News httpst.cobbAbmVR2lp",,,neutral
1798,A Dalhousie University researcher at the forefront of Canadas quest to find a treatment for COVID19 httpst.coADqrfuCRcg,,,neutral
1799, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1800, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1801," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1802," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1803," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1804," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1805,Dalhousie research team prepares for clinical trial of COVID19 vaccine  CBC News httpst.coIQ3CT9yfut,,,neutral
1806," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1807, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1808, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1809," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1810," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1811, DalVPR Rapid advances in COVID2019  research DalhousieU akelvinlab    httpst.coKYzwnjEvix,rapid,,positive
1812, natnewswatch Dalhousie research team prepares for clinical trial of COVID19 vaccine  CBC News httpst.coH3gY2tayVb,,,neutral
1813," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1814, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1815," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1816," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1817," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1818," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1819, natnewswatch Dalhousie research team prepares for clinical trial of COVID19 vaccine  CBC News httpst.coH3gY2tayVb,,,neutral
1820, natnewswatch Dalhousie research team prepares for clinical trial of COVID19 vaccine  CBC News httpst.coH3gY2tayVb,,,neutral
1821, DalVPR Rapid advances in COVID2019  research DalhousieU akelvinlab    httpst.coKYzwnjEvix,rapid,,positive
1822, natnewswatch Dalhousie research team prepares for clinical trial of COVID19 vaccine  CBC News httpst.coH3gY2tayVb,,,neutral
1823," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1824,hope GoDal httpst.coI648x6DXaO,,,neutral
1825, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1826," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1827, DalVPR Rapid advances in COVID2019  research DalhousieU akelvinlab    httpst.coKYzwnjEvix,rapid,,positive
1828, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1829, natnewswatch Dalhousie research team prepares for clinical trial of COVID19 vaccine  CBC News httpst.coH3gY2tayVb,,,neutral
1830, DalVPR Rapid advances in COVID2019  research DalhousieU akelvinlab    httpst.coKYzwnjEvix,rapid,,positive
1831, natnewswatch Dalhousie research team prepares for clinical trial of COVID19 vaccine  CBC News httpst.coH3gY2tayVb,,,neutral
1832," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1833, natnewswatch Dalhousie research team prepares for clinical trial of COVID19 vaccine  CBC News httpst.coH3gY2tayVb,,,neutral
1834, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1835, natnewswatch Dalhousie research team prepares for clinical trial of COVID19 vaccine  CBC News httpst.coH3gY2tayVb,,,neutral
1836, natnewswatch Dalhousie research team prepares for clinical trial of COVID19 vaccine  CBC News httpst.coH3gY2tayVb,,,neutral
1837, DalVPR Rapid advances in COVID2019  research DalhousieU akelvinlab    httpst.coKYzwnjEvix,rapid,,positive
1838, natnewswatch Dalhousie research team prepares for clinical trial of COVID19 vaccine  CBC News httpst.coH3gY2tayVb,,,neutral
1839, natnewswatch Dalhousie research team prepares for clinical trial of COVID19 vaccine  CBC News httpst.coH3gY2tayVb,,,neutral
1840," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1841, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1842, natnewswatch Dalhousie research team prepares for clinical trial of COVID19 vaccine  CBC News httpst.coH3gY2tayVb,,,neutral
1843, natnewswatch Dalhousie research team prepares for clinical trial of COVID19 vaccine  CBC News httpst.coH3gY2tayVb,,,neutral
1844, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1845," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1846,Dalhousie research team prepares for clinical trial of COVID19 vaccine  CBC News httpst.coH3gY2tayVb,,,neutral
1847, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1848," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1849," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1850," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1851," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1852, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1853, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1854," DalhousieU DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1855, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1856, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1857, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1858,"DalhousieU research team prepares for clinical trial of COVID19 vaccine. 
httpst.coswGeTNTMfP",,,neutral
1859, jmorawiecki Our researchers are OnIt DalProud DalVPR  httpst.co8BzKmqUT42,,,neutral
1860, DalVPR Rapid advances in COVID2019  research DalhousieU akelvinlab    httpst.coKYzwnjEvix,rapid,,positive
1861, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1862, DalVPR Rapid advances in COVID2019  research DalhousieU akelvinlab    httpst.coKYzwnjEvix,rapid,,positive
1863, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1864, DalVPR Rapid advances in COVID2019  research DalhousieU akelvinlab    httpst.coKYzwnjEvix,rapid,,positive
1865, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1866, jmorawiecki Our researchers are OnIt DalProud DalVPR  httpst.co8BzKmqUT42,,,neutral
1867,Our researchers are OnIt DalProud DalVPR  httpst.co8BzKmqUT42,,,neutral
1868,Rapid advances in COVID2019  research DalhousieU akelvinlab    httpst.coKYzwnjEvix,rapid,,positive
1869, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1870, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1871, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1872, MatthewMooreCB Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co0yxWI0kKYp,,,neutral
1873, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1874, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1875, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1876, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1877,Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co0yxWI0kKYp,,,neutral
1878, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1879, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1880, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1881, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1882, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1883, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1884, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1885, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1886, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1887, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1888, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1889, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1890, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1891, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1892, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1893, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1894, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1895, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1896, CBCNS Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1897,Dalhousie research team prepares for clinical trial of COVID19 vaccine httpst.co4n8DCSw6F1 httpst.covIopM8GDjK,,,neutral
1898,Dalhousie research team prepares for clinical trial of COVID19 vaccine  CBC News httpst.coF9WUWqWKL3,,,neutral
1899," dbdli In anticipation of the Ancestral Roots Awards we will be highlighting recipients from last year 

Meet Nico Jones a 2018 gradu",awards,,positive
1900,SAB executive Mark Chetcuti will recommend one book a week to you as a part of our Stay At Home amp Read a Book initiative. This weeks book is Cormac McCarthys The Road. Mark has a BA in Literature from York University and also studied at Carleton and Dalhousie. httpst.coSwFcufgivn,recommend,,positive
1901,mejorquetu kamalpk1 Koi inko bola woh dalhousie school se padhi hai graduation lovely proffsional University se kiya hai usne.... Bewkoof log,lovely,,positive
1902, cbcradio According to Alyson Kelvin a virologist from Dalhousie University as we get older our immune system becomes less able to fi,,,neutral
1903,"In anticipation of the Ancestral Roots Awards we will be highlighting recipients from last year 

Meet Nico Jones a 2018 graduate of the Schulich School of Law at Dalhousie University. He currently works as an associate at Stewart McKelvey in the CorporateCommercial law group. httpst.co99asukm2WZ","awards, works",,positive
1904, ravneetsidhu231 Rinky07269148 TheAnujRadia Mam fr ur kind information her school ing is frm Dalhousie boarding schooli bet i want be,,,neutral
1905,Rinky07269148 TheAnujRadia Mam fr ur kind information her school ing is frm Dalhousie boarding schooli bet i want be able to get admission their ...we punjabis hv prblm in speaking english bcoz we speak our punjabi lng mostly that doesnt mean we r dumb and her University is LPU  ShehnaazGill,,dumb,negative
1906, cbcradio According to Alyson Kelvin a virologist from Dalhousie University as we get older our immune system becomes less able to fi,,,neutral
1907, cbcradio According to Alyson Kelvin a virologist from Dalhousie University as we get older our immune system becomes less able to fi,,,neutral
1908,"According to Alyson Kelvin a virologist from Dalhousie University as we get older our immune system becomes less able to fight off the virus. 

httpst.corKKO9OT4jS",,,neutral
1909,"CIC IMAGING SERIES LECTURE
Wednesday 25. March 2020  1100

Please join us for an upcoming CIC Seminar by Vlad Drobnin PhD Student FORBOW program Dalhousie University.
httpst.co0PC7AhiAYE
 Please note that this seminar will be given by Zoom
httpst.cobNl1aGjqZH httpst.coGA8kkj1hVs",,,neutral
1910,Dalhousie Universitys Faculty of Science SURGE Innovation Program Broadening the Scope of Sciences httpst.coCnZ54GOUES,innovation,,positive
1911,It is decided as expected. Impact for all stakeholders can be read in our technical report see section 4.3 pathway 2  httpst.coPxeiw9446p  University of Antwerp  Faculty of Business and Economics Mary Brooks Dalhousie University consortia shipping httpst.co31d6uWVtS9,,,neutral
1912, SPJHPE Huge shout out to former Python Caleb Sooley on his commitment to play for the Dalhousie Tigers next season Looking forward t,commitment,,positive
1913,LucianoRad The Bedford campus of Dalhousie University is OPEN. Doctorate research on the second floor. Online learning on the main floor. Meal hall operating since breakfast and Im handling Alumni affairs.,,,neutral
